NAME,Year,Industry,Category,NAICS Code,BEA Line Code,BEA Employment,NAICS Employment
"Cheatham County, Tennessee",2022BL,Accommodation and food services,BEA and NAICS,72,1800,877.0,945.3877779102556
"Cheatham County, Tennessee",2023,Public Administration,NAICS,92,NA,0,1215.415368113872
"Cheatham County, Tennessee",2026,Public Administration,NAICS,92,NA,0,1209.9573808488294
"Cheatham County, Tennessee",2036,Utilities,BEA and NAICS,22,300,37.67190388170056,54.814368629358526
"Cheatham County, Tennessee",2049,Utilities,BEA and NAICS,22,300,39.119421705835755,56.9205742477121
"Cheatham County, Tennessee",2036,Transportation and warehousing,BEA and NAICS,48-49,800,1355.5,1485.2556491405605
"Cheatham County, Tennessee",2024,Accommodation and food services,BEA and NAICS,72,1800,945.3571428571429,1019.0753576023973
"Cheatham County, Tennessee",2036,Total employment (number of jobs),BEA and NAICS,NA,10,19072.0,19072.0
"Cheatham County, Tennessee",2036,Retail trade,BEA and NAICS,44-45,700,1517.0,1517.0
"Cheatham County, Tennessee",2036,Real estate and rental and leasing,BEA and NAICS,53,1100,1091.5,1091.5
"Cheatham County, Tennessee",2024,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,1011.7857142857142,1061.225013457644
"Cheatham County, Tennessee",2036,"Professional, scientific, and technical services",BEA and NAICS,54,1200,837.7167282809612,869.7268894567048
"Cheatham County, Tennessee",2036,Other services (except government and government enterprises),BEA and NAICS,81,1900,1251.0,1251.0
"Cheatham County, Tennessee",2047,Real estate and rental and leasing,BEA and NAICS,53,1100,1242.107142857143,1242.107142857143
"Cheatham County, Tennessee",2036,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,17.743068391866913,17.743068391866913
"Cheatham County, Tennessee",2050,Total employment (number of jobs),BEA and NAICS,NA,10,21306.0,21306.0
"Cheatham County, Tennessee",2024,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",483.01458938473723,483.01458938473723
